"time","unit","jobId","title","targetFile","status","notes"
"2026-05-08T23:20:16","S1","02_living_dining_wide_view","Living / Dining","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\01_S1_type_s1_suite\02_living_dining_wide_view\render_9x16.png","skipped_existing","Target file already exists."
"2026-05-08T23:22:01","S1","03_kitchen_pantry_wide_view","Kitchen / Pantry","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\01_S1_type_s1_suite\03_kitchen_pantry_wide_view\render_9x16.png","complete","Generated Set 2 cinematic render."
"2026-05-08T23:23:35","S1","04_main_bedroom_wide_view","Main Bedroom","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\01_S1_type_s1_suite\04_main_bedroom_wide_view\render_9x16.png","complete","Generated Set 2 cinematic render."
"2026-05-08T23:25:10","S1","05_washroom_bath_wide_view","Washroom / Bath","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\01_S1_type_s1_suite\05_washroom_bath_wide_view\render_9x16.png","complete","Generated Set 2 cinematic render."
"2026-05-08T23:27:00","S2","02_living_dining_wide_view","Living / Dining","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\02_S2_type_s2_suite\02_living_dining_wide_view\render_9x16.png","complete","Generated Set 2 cinematic render."
"2026-05-08T23:28:33","S2","03_kitchen_pantry_wide_view","Kitchen / Pantry","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\02_S2_type_s2_suite\03_kitchen_pantry_wide_view\render_9x16.png","complete","Generated Set 2 cinematic render."
"2026-05-08T23:30:06","S2","04_main_bedroom_wide_view","Main Bedroom","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\02_S2_type_s2_suite\04_main_bedroom_wide_view\render_9x16.png","complete","Generated Set 2 cinematic render."
"2026-05-08T23:31:39","S2","05_washroom_bath_wide_view","Washroom / Bath","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\02_S2_type_s2_suite\05_washroom_bath_wide_view\render_9x16.png","complete","Generated Set 2 cinematic render."
"2026-05-08T23:33:29","J1","02_living_dining_wide_view","Living / Dining","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\03_J1_type_j1_suite\02_living_dining_wide_view\render_9x16.png","complete","Generated Set 2 cinematic render."
"2026-05-08T23:35:03","J1","03_kitchen_pantry_wide_view","Kitchen / Pantry","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\03_J1_type_j1_suite\03_kitchen_pantry_wide_view\render_9x16.png","complete","Generated Set 2 cinematic render."
"2026-05-08T23:36:36","J1","04_main_bedroom_wide_view","Main Bedroom","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\03_J1_type_j1_suite\04_main_bedroom_wide_view\render_9x16.png","complete","Generated Set 2 cinematic render."
"2026-05-08T23:38:23","J1","05_washroom_bath_wide_view","Washroom / Bath","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\03_J1_type_j1_suite\05_washroom_bath_wide_view\render_9x16.png","complete","Generated Set 2 cinematic render."
"2026-05-08T23:39:54","J3","02_living_dining_wide_view","Living / Dining","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\04_J3_type_j3_suite\02_living_dining_wide_view\render_9x16.png","complete","Generated Set 2 cinematic render."
"2026-05-08T23:41:26","J3","03_kitchen_pantry_wide_view","Kitchen / Pantry","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\04_J3_type_j3_suite\03_kitchen_pantry_wide_view\render_9x16.png","complete","Generated Set 2 cinematic render."
"2026-05-08T23:42:43","J3","04_main_bedroom_wide_view","Main Bedroom","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\04_J3_type_j3_suite\04_main_bedroom_wide_view\render_9x16.png","complete","Generated Set 2 cinematic render."
"2026-05-08T23:44:17","J3","05_washroom_bath_wide_view","Washroom / Bath","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\04_J3_type_j3_suite\05_washroom_bath_wide_view\render_9x16.png","complete","Generated Set 2 cinematic render."
"2026-05-08T23:45:33","M1","02_living_dining_wide_view","Living / Dining","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\05_M1_type_m1_suite\02_living_dining_wide_view\render_9x16.png","complete","Generated Set 2 cinematic render."
"2026-05-08T23:47:05","M1","03_kitchen_pantry_wide_view","Kitchen / Pantry","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\05_M1_type_m1_suite\03_kitchen_pantry_wide_view\render_9x16.png","complete","Generated Set 2 cinematic render."
"2026-05-08T23:48:57","M1","04_main_bedroom_wide_view","Main Bedroom","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\05_M1_type_m1_suite\04_main_bedroom_wide_view\render_9x16.png","complete","Generated Set 2 cinematic render."
"2026-05-08T23:50:30","M1","05_washroom_bath_wide_view","Washroom / Bath","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\05_M1_type_m1_suite\05_washroom_bath_wide_view\render_9x16.png","complete","Generated Set 2 cinematic render."
"2026-05-08T23:52:03","DK2","02_living_dining_wide_view","Living / Dining","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\06_DK2_type_dk2_dual_key_suite\02_living_dining_wide_view\render_9x16.png","complete","Generated Set 2 cinematic render."
"2026-05-08T23:53:37","DK2","03_kitchen_pantry_wide_view","Kitchen / Pantry","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\06_DK2_type_dk2_dual_key_suite\03_kitchen_pantry_wide_view\render_9x16.png","complete","Generated Set 2 cinematic render."
"2026-05-08T23:55:17","DK2","04_main_bedroom_wide_view","Main Bedroom","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\06_DK2_type_dk2_dual_key_suite\04_main_bedroom_wide_view\render_9x16.png","complete","Generated Set 2 cinematic render."
"2026-05-08T23:57:06","DK2","05_washroom_bath_wide_view","Washroom / Bath","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\06_DK2_type_dk2_dual_key_suite\05_washroom_bath_wide_view\render_9x16.png","complete","Generated Set 2 cinematic render."
"2026-05-09T01:22:26","S1","02_living_dining_wide_view","Living / Dining","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\01_S1_type_s1_suite\02_living_dining_wide_view\render_9x16.png","complete","Generated Set 2 cinematic render."
"2026-05-09T01:24:00","S1","03_kitchen_pantry_wide_view","Kitchen / Pantry","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\01_S1_type_s1_suite\03_kitchen_pantry_wide_view\render_9x16.png","complete","Generated Set 2 cinematic render."
"2026-05-09T01:25:34","S1","04_main_bedroom_wide_view","Main Bedroom","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\01_S1_type_s1_suite\04_main_bedroom_wide_view\render_9x16.png","complete","Generated Set 2 cinematic render."
"2026-05-09T01:27:25","S1","05_washroom_bath_wide_view","Washroom / Bath","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\01_S1_type_s1_suite\05_washroom_bath_wide_view\render_9x16.png","complete","Generated Set 2 cinematic render."
"2026-05-09T01:28:59","S2","02_living_dining_wide_view","Living / Dining","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\02_S2_type_s2_suite\02_living_dining_wide_view\render_9x16.png","complete","Generated Set 2 cinematic render."
"2026-05-09T01:30:30","S2","03_kitchen_pantry_wide_view","Kitchen / Pantry","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\02_S2_type_s2_suite\03_kitchen_pantry_wide_view\render_9x16.png","complete","Generated Set 2 cinematic render."
"2026-05-09T01:32:07","S2","04_main_bedroom_wide_view","Main Bedroom","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\02_S2_type_s2_suite\04_main_bedroom_wide_view\render_9x16.png","complete","Generated Set 2 cinematic render."
"2026-05-09T01:33:58","S2","05_washroom_bath_wide_view","Washroom / Bath","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\02_S2_type_s2_suite\05_washroom_bath_wide_view\render_9x16.png","complete","Generated Set 2 cinematic render."
"2026-05-09T01:35:33","J1","02_living_dining_wide_view","Living / Dining","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\03_J1_type_j1_suite\02_living_dining_wide_view\render_9x16.png","complete","Generated Set 2 cinematic render."
"2026-05-09T01:37:06","J1","03_kitchen_pantry_wide_view","Kitchen / Pantry","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\03_J1_type_j1_suite\03_kitchen_pantry_wide_view\render_9x16.png","complete","Generated Set 2 cinematic render."
"2026-05-09T01:38:44","J1","04_main_bedroom_wide_view","Main Bedroom","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\03_J1_type_j1_suite\04_main_bedroom_wide_view\render_9x16.png","failed","Nicole run ended but target file was not created. See D:\RoyalSuites\CINEMATIC_SET_2\_job_logs\J1-04_main_bedroom_wide_view.log."
"2026-05-09T01:40:18","J1","05_washroom_bath_wide_view","Washroom / Bath","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\03_J1_type_j1_suite\05_washroom_bath_wide_view\render_9x16.png","complete","Generated Set 2 cinematic render."
"2026-05-09T01:42:15","J3","02_living_dining_wide_view","Living / Dining","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\04_J3_type_j3_suite\02_living_dining_wide_view\render_9x16.png","complete","Generated Set 2 cinematic render."
"2026-05-09T01:44:43","J3","03_kitchen_pantry_wide_view","Kitchen / Pantry","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\04_J3_type_j3_suite\03_kitchen_pantry_wide_view\render_9x16.png","complete","Generated Set 2 cinematic render."
"2026-05-09T01:47:00","J3","04_main_bedroom_wide_view","Main Bedroom","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\04_J3_type_j3_suite\04_main_bedroom_wide_view\render_9x16.png","complete","Generated Set 2 cinematic render."
"2026-05-09T01:49:14","J3","05_washroom_bath_wide_view","Washroom / Bath","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\04_J3_type_j3_suite\05_washroom_bath_wide_view\render_9x16.png","complete","Generated Set 2 cinematic render."
"2026-05-09T01:50:59","M1","02_living_dining_wide_view","Living / Dining","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\05_M1_type_m1_suite\02_living_dining_wide_view\render_9x16.png","complete","Generated Set 2 cinematic render."
"2026-05-09T01:52:58","M1","03_kitchen_pantry_wide_view","Kitchen / Pantry","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\05_M1_type_m1_suite\03_kitchen_pantry_wide_view\render_9x16.png","complete","Generated Set 2 cinematic render."
"2026-05-09T01:56:06","M1","04_main_bedroom_wide_view","Main Bedroom","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\05_M1_type_m1_suite\04_main_bedroom_wide_view\render_9x16.png","complete","Generated Set 2 cinematic render."
"2026-05-09T01:58:46","M1","05_washroom_bath_wide_view","Washroom / Bath","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\05_M1_type_m1_suite\05_washroom_bath_wide_view\render_9x16.png","complete","Generated Set 2 cinematic render."
"2026-05-09T02:00:24","DK2","02_living_dining_wide_view","Living / Dining","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\06_DK2_type_dk2_dual_key_suite\02_living_dining_wide_view\render_9x16.png","complete","Generated Set 2 cinematic render."
"2026-05-09T02:02:33","DK2","03_kitchen_pantry_wide_view","Kitchen / Pantry","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\06_DK2_type_dk2_dual_key_suite\03_kitchen_pantry_wide_view\render_9x16.png","complete","Generated Set 2 cinematic render."
"2026-05-09T02:04:07","DK2","04_main_bedroom_wide_view","Main Bedroom","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\06_DK2_type_dk2_dual_key_suite\04_main_bedroom_wide_view\render_9x16.png","complete","Generated Set 2 cinematic render."
"2026-05-09T02:05:41","DK2","05_washroom_bath_wide_view","Washroom / Bath","D:\New AI Directory\Damasara Heights - Royal Suites\CINEMATIC_SET_2\06_DK2_type_dk2_dual_key_suite\05_washroom_bath_wide_view\render_9x16.png","complete","Generated Set 2 cinematic render."
